見出し,見出し（説明）,分類,分類（説明）,日時,場所,対象,定員,費用,申込,問い合わせ,申込・問い合わせ,案内配布,受験資格,願書配布,URL1,URL2,Eメール1,Eメール2
こども薬剤師体験イベント,薬剤師の仕事見学や模擬調剤体験など,,,2月18日（日）(1)10:00?12:00(2)14:00?16:00,県立医大病院（和歌山市）,県内在住の小学5・6年生,各24人（抽選）,,,,ハガキで住所、氏名、学年、性別、学校名、保護者氏名、電話番号を12月25日までに県立医大病院薬剤部  〒641-8510和歌山市紀三井寺811-1 電話073-441-0505,,,,http://www.wakayama-med.ac.jp/hospital//,,,
藤原道山×SINSKE「四季-春夏秋冬-」,尺八とマリンバによる世界最小オーケストラ,,,2月2日（金）18:30?,県民文化会館（和歌山市）,,328人（先着順）,"4,000円",,,電話、インターネットで会場 電話073-436-1331 ※各プレイガイドでも発売和歌山県民文化会館のぺージへリンク,,,,http://www.wacaf.or.jp/index.html,,,
疾患別患者・家族交流会,,,,：(1)ベーチェット病1月20日（土）(2)腎疾患2月2日（金）(3)下垂体機能障害2月16日（金）いずれも13:30?15:30,県難病・子ども保健相談支援センター（和歌山市）,患者、家族,各10人程度（先着順）,,,,電話、ファックスで交流会名、住所、氏名、電話（ファックス）番号、参加人数を開催前日（手話通訳・要約筆記希望者は(1)12月20日(2)1月4日(3)16日）までに会場  電話073-445-0520　ファックス073-445-0603,,,,,,,
がん患者・家族、県民のための公開講座,テーマ：いのちの日々,講師：徳永進氏（野の花診療所院長）,,2月12日(振休)13:00?15:00,県立図書館(和歌山市),,200人（先着順）,,,,電話、ファックスで氏名、電話番号を県立医大病院患者支援センター電話073-441-0778　ファックス073-441-0862,,,,http://www.wakayama-med.ac.jp/hospital/,,,
借金に関するなんでも無料相談会,,,,(1)12月17日（日）13:00?16:00(2)12月22日（金）17:00?20:00,(1)県消費生活センター（和歌山市）、伊都振興局（橋本市）、日高振興局（御坊市）、東牟婁振興局（新宮市）(2)県消費生活センター,,,,電話で各振興局総務県民課、問合先,県庁県民生活課,,,,,http://www.pref.wakayama.lg.jp/prefg/031300/,,,
メキシコでの研修生（日墨研修）,メキシコの大学・大学院などで(1)語学・文化(2)専門科目を学ぶ,,,平成30年8月中旬から約1年間,：(1)20歳以上35歳以下(2)20歳以上40歳以下いずれも県内在住・在勤・在学の方（平成30年4月1日現在）※応募資格・費用など詳しくは要問合せ,,3人（選考）,,,,郵送で所定の申込書（申込先、WEBサイトで配布）を12月13日までに県庁国際課,,,,http://www.pref.wakayama.lg.jp/prefg/022100/nichibokupartner.html,,,
人とペットを守る防災対策セミナー,,,,12月16日（土）9:20?15:30,和歌山ビッグ愛（和歌山市）,小学生以上（小学生は保護者同伴）,100人（先着順）,,,,郵送、ファックス、Eメールで所定の申込書（申込先、WEBサイトで配布）を12月14日までに県庁食品・生活衛生課ファックス073-432-1952Eメール　e0316003@pref.wakayama.lg.jp ※手話通訳・要約筆記は要予約,,,,http://www.pref.wakayama.lg.jp/prefg/031600/top.html,,e0316003@pref.wakayama.lg.jp,v
1・2月開始の職業訓練受講生,就職に有利な専門知識や技能を修得,科目：(1)パソコン・総務経理事務科(2)CAD・NC技術科(3)パソコン・簿記事務科(4)パソコン基礎科,,,(1)(2)和歌山市(3)御坊市(4)田辺市,,,,,,ハローワーク（申込締切日あり）※詳しくはWEBサイトを要確認,,,,http://wakayama-roudoukyoku.jsite.mhlw.go.jp/home.html,,,
県立産業技術専門学院体験入学,,,,1月13日（土）9:30?,：(1)和歌山産業技術専門学院(和歌山市) (2)田辺産業技術専門学院(田辺市),中学・高校生、一般,,,,,電話、ファックス、Eメールで氏名、電話番号、出身校、体験希望科を1月11日までに各会場(1)電話073-477-1253　ファックス073-477-1254 (2)電話0739-22-2259　ファックス0739-22-3123,,,,http://www.pref.wakayama.lg.jp/prefg/060701/common/taiken/taiken.html,,,
県職員をめざす女性のための働き方セミナー,キャリアアップやワークライフバランスについての先輩トークなど,,,12月27日（水）13:00?15:40,県民文化会館（和歌山市）,,40人（先着順）,,,,インターネットで12月18日までに県人事委員会事務局,,,,http://www.pref.wakayama.lg.jp/prefg/210100/jyosei.html,,,
福祉・介護・保育の就職フェアわかやま,,,,1月8日（祝）13:00?16:00,和歌山ビッグ愛（和歌山市）,,,,,県福祉人材センターハートワーク電話073-435-5211,,,,,http://www.wakayamakenshakyo.or.jp/,,,
難病ボランティア講座,ボランティア活動に役立つ車椅子と杖の知識＆介助・実技体験,,,1月13日（土）13:30?15:30,県子ども・女性・障害者相談センター（和歌山市）,,30人（先着順）,,,,電話、ファックスで住所、氏名、電話番号を12月27日（手話通訳・要約筆記希望者は12月13日）までに県難病・子ども保健相談支援センター 電話073-445-0520　ファックス073-445-0603,,,,http://www.pref.wakayama.lg.jp/prefg/041200/050300/kodomo/index.html,,,
「くじらの海、くじらの町」を歩くモニターツアー 第１弾,,,,1月14日（日）8:50?12:50,太地町内,,20人（抽選） ,"2,400円",,,郵送、ファックスで所定の申込書（申込先、WEBサイト、県庁観光振興課、東牟婁振興局企画産業課で配布）を12月25日までに太地町産業建設課  〒649-5171太地町太地3767-1電話0735-59-2335　ファックス0735-59-2570,,,,http://kumanonada-nihonisan.jp/,,,
シルバー美術展兼全国健康福祉祭とやま大会出品作品選考会,,,,2月22?26日 10:00?17:00 ※最終日は午前で終了,和歌山ビッグウェーブ（和歌山市）,県内在住で昭和34年4月1日以前生まれのアマチュアの方。日本画・洋画・彫刻・工芸・書・写真から1人1作品（共同作品不可）,,,,,所定の申込書（申込先などで配布）を2部作成し、1部は作品裏面に貼付、もう1部は郵送、ファックスで1月19日までに県社会福祉協議会いきいき長寿社会センター〒640-8545和歌山市手平2-1-2 和歌山ビッグ愛7階 電話073-435-5214　ファックス073-435-5221,,,,http://www.wakayamakenshakyo.or.jp/,,,
潮岬青少年の家,〒649-3502　串本町潮岬669電話0735-62-6045　ファックス0735-62-0182http://omoshiro-yh.com/,ウィンターキャンプ ,真冬のキャンプ体験で、心身の成長とお互い協力し合う心を養う,1月27日（土）?28日（日）1泊2日,,小学3年生以下は保護者同伴,30人（先着順）,"18歳以下4,140円 19歳以上4,400円",12月19日?1月10日,,,,,,,,,
潮岬青少年の家,〒649-3502　串本町潮岬669電話0735-62-6045　ファックス0735-62-0182http://omoshiro-yh.com/,バレンタインチョコ作り ,大好きな家族や友達にプレゼントするチョコレートを手作り,2月3日（土）?4日（日）1泊2日,,小学4年?中学3年生,30人（先着順）,"4,600円",12月19日?1月10日,,,,,,,,,
県育休等任期付職員,,,,1月21日（日）,,,,,郵送、インターネットで12月15日?1月5日に県人事委員会事務局,,,,,,http://www.pref.wakayama.lg.jp/prefg/210100/,,,
危険物取扱者(第3回),,,,2月11日（祝）9:30～,和歌山市、田辺市、新宮市（受験票で通知）,,,"甲種 5,000円、乙種 3,400円、丙種 2,700円",,,郵送、持参、インターネットで12月12?21日（インターネットは12月9?18日17:00まで）に消防試験研究センター和歌山県支部 〒640-8137和歌山市吹上2-1-22日赤会館6階 電話073-425-3369,,,申込先、県庁危機管理・消防課、振興局総務県民課、市町村、消防本部,https://www.shoubo-shiken.or.jp/,,,
県立産業技術専門学院生徒,,,,2月7日(水)9:30～,和歌山産業技術専門学院(和歌山市)、田辺産業技術専門学院(田辺市)、東牟婁振興局(新宮市),普通課程=中学・高校卒業(見込)者など 短期課程=軽度の知的障害のある方,,"2,200円(県証紙、普通課程のみ)",,,1月15?24日 和歌山産業技術専門学院 電話073-477-1253　ファックス073-477-1254田辺産業技術専門学院 電話0739-22-2259　ファックス0739-22-3123または県内ハローワーク,,,申込先,http://www.pref.wakayama.lg.jp/prefg/060701/,,,
